PV
0
0
0
0
0
0
667
4368
6095
2278
2823
9299
4881
9901
6311
372
601
21
215
0
0
0
0
0
0
0
0
0
0
171
1748
5563
7099
7909
9425
7912
7748
8470
8617
5331
3409
1304
256
0
0
0
0
0
0
0
0
0
0
290
2129
5996
9664
9068
11140
10859
7933
5176
6246
4296
2629
1176
619
7
0
0
0
0
0
0
0
0
0
0
361
2276
4570
6029
7736
7406
6851
5712
4764
3943
1213
403
12
0
0
0
0
0
0
0
0
0
0
109
1864
4131
9365
11630
10606
5749
3403
2129
1578
2038
2259
1528
183
2
0
0
0
0
0
0
0
0
0
0
1030
3686
8952
11875
13491
13968
14211
12696
11811
7377
3202
1117
135
0
0
0
0
0
0
0
0
0
0
44
1295
3135
10534
11426
13348
14303
14471
13816
12233
8416
3405
1342
157
0
0
0
0
0
0
0
0
0
0
5
833
5438
9643
12038
13562
14452
14570
13970
12285
8258
3443
1374
186
0
0
0
0
0
0
0
0
0
0
86
2251
5970
9323
11765
13332
14156
14188
13452
11864
7558
3424
1884
446
0
0
0
0
0
0
0
0
0
0
0
19
441
2301
6216
10861
12913
14344
13558
12002
8274
3461
1475
199
0
0
0
0
0
0
0
0
0
0
1
1032
3179
3602
6267
7536
8408
9459
6082
5509
5092
4192
2545
595
0
0
0
0
0
0
0
0
0
0
139
2203
5542
9090
9323
11717
12349
13617
10765
5716
6592
1468
851
22
0
0
0
0
0
0
0
0
0
0
0
459
4804
5810
11818
13624
14232
14074
13456
11969
8365
3417
1331
173
0
0
0
0
0
0
0
0
0
0
65
2191
5871
9010
11502
13263
13998
14037
13494
11893
8243
3491
1405
182
0
0
0
0
0
0
0
0
0
0
0
771
4145
9431
11953
13463
14396
14464
13753
11982
7892
3661
2016
865
0
0
0
0
0
0
0
0
0
0
30
2284
6000
9415
12043
13658
14483
13058
13911
12218
8566
3568
1384
187
0
0
0
0
0
0
0
0
0
0
65
2211
5835
9234
11733
13178
14050
14117
13426
11848
8206
3355
1346
222
0
0
0
0
0
0
0
0
0
0
199
1821
3395
4587
4042
5249
3286
4734
6453
6976
3727
3276
902
124
0
0
0
0
0
0
0
0
0
0
0
1332
5917
9309
11754
13338
14224
14340
13452
11922
8323
3409
1323
157
0
0
0
0
0
0
0
0
0
0
48
1985
5635
8933
11342
12946
13789
13792
13126
11774
8123
3322
1273
155
0
0
0
0
0
0
0
0
0
0
89
2031
5682
8999
11245
12562
13322
13528
12840
11175
7693
3167
1192
287
0
0
0
0
0
0
0
0
0
0
36
2037
5514
8746
11036
12388
13008
13102
12478
11218
7747
3037
1452
144
0
0
0
0
0
0
0
0
0
0
0
344
2747
7265
11683
13386
14362
14378
13632
11758
8570
3489
1781
214
0
0
0
0
0
0
0
0
0
0
64
2109
5719
9118
11688
13259
14151
14287
13621
12094
8539
3524
1368
195
0
0
0
0
0
0
0
0
0
0
158
1884
5223
8117
11034
13009
14008
13643
12402
10990
7993
3459
1351
192
0
0
0
0
0
0
0
0
0
0
24
1640
5540
8903
11383
12902
13698
13743
13120
11559
7972
3321
1317
179
0
0
0
0
0
0
0
0
0
0
23
294
3869
8641
11134
12317
12314
11712
9186
8043
5415
3458
1932
185
0
0
0
0
0
0
0
0
0
0
0
7
207
1566
1837
2750
6084
12012
10212
4158
1857
745
2365
515
19
0
0
0
0
0
0
0
0
0
47
501
2849
2942
3120
8554
9602
11457
6503
7363
4041
2455
1097
277
0
0
0
0
0
0
0
0
0
0
77
1139
3788
10403
11677
13113
14068
14193
13583
12123
8762
3849
1480
219
0
0
0
0
0
0
0
0
0
0
46
1954
5685
9074
11613
13146
13845
13858
13288
11827
8510
3593
1371
198
0
0
0
0
0
0
0
0
0
0
44
1899
5501
8807
11281
12886
13722
13723
12975
11608
8302
3549
1359
193
0
0
0
0
0
0
0
0
0
0
15
1854
5500
8898
11350
12996
13853
13714
13113
11669
8370
3566
1368
200
0
0
0
0
0
0
0
0
0
0
52
1871
5432
8812
11305
12943
13599
13753
13182
11734
8375
3462
1331
193
0
0
0
0
0
0
0
0
0
0
45
1832
5350
8689
11141
12656
13294
13341
12788
11471
8179
3369
1308
219
0
0
0
0
0
0
0
0
0
0
45
1776
5247
8547
10952
12424
13148
13267
12731
11358
8015
3316
1310
206
0
0
0
0
0
0
0
0
0
0
12
1655
4887
8450
11108
12764
13595
13614
13001
11643
8314
3448
1305
